                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.53746,                0.78228,                0.63283,                0.90173,                0.70359,                0.49553,                0.52158,                0.44083,                0.64173,                0.45977,                0.48367,                0.35934,                0.65226,                  2.011,                 1.5025,                0.94257,             0.00098706,             0.00098706,             0.00098706
                    105,                0.49858,                 0.7292,                  0.572,                0.90499,                0.70359,                0.49553,                0.52158,                0.44083,                0.64173,                0.45977,                0.48367,                0.35934,                0.65226,                  2.011,                 1.5025,                0.94257,             0.00098046,             0.00098046,             0.00098046
                    106,                0.49481,                0.72116,                0.56885,                0.90836,                0.73969,                0.51008,                0.54059,                0.45158,                0.68148,                0.47525,                0.50862,                0.38561,                0.64634,                  1.941,                  1.344,                0.95229,             0.00097386,             0.00097386,             0.00097386
                    107,                0.49529,                0.79345,                0.57189,                0.89463,                0.80843,                0.53257,                0.53947,                0.44846,                0.75058,                0.49681,                0.50485,                0.39872,                0.65214,                  1.808,                 1.1725,                 0.9591,             0.00096726,             0.00096726,             0.00096726
                    108,                0.49886,                0.69696,                0.54723,                0.90251,                0.77539,                0.53257,                0.54546,                0.45422,                0.72086,                0.49681,                0.51066,                0.41776,                0.63649,                 1.6563,                 1.1359,                0.93397,             0.00096066,             0.00096066,             0.00096066
                    109,                0.50434,                0.70632,                0.58372,                0.90439,                0.77539,                0.53257,                0.54546,                0.45422,                0.72086,                0.49681,                0.51066,                0.41776,                0.63649,                 1.6563,                 1.1359,                0.93397,             0.00095406,             0.00095406,             0.00095406
                    110,                0.49217,                0.67762,                0.57576,                0.90494,                0.74755,                0.49681,                0.52645,                0.42049,                0.76443,                 0.4759,                0.48917,                0.38259,                0.67002,                  1.639,                 1.1929,                0.94626,             0.00094746,             0.00094746,             0.00094746
                    111,                0.51643,                0.69216,                0.58529,                0.88878,                0.73086,                0.49681,                 0.5053,                0.39138,                0.70564,                0.47957,                0.46675,                0.34949,                0.74444,                 1.8077,                 1.2569,                 1.0065,             0.00094085,             0.00094085,             0.00094085
                    112,                0.50743,                0.70002,                0.55844,                0.91429,                0.70096,                0.51199,                 0.4775,                0.36887,                 0.6728,                0.47395,                0.44324,                0.32379,                 0.7701,                  1.938,                 1.3372,                 1.0297,             0.00093425,             0.00093425,             0.00093425
                    113,                0.52821,                0.78659,                0.60901,                0.90744,                0.70096,                0.51199,                 0.4775,                0.36887,                 0.6728,                0.47395,                0.44324,                0.32379,                 0.7701,                  1.938,                 1.3372,                 1.0297,             0.00092765,             0.00092765,             0.00092765
                    114,                0.52381,                0.66829,                0.58257,                0.90762,                  0.693,                 0.4233,                0.42412,                0.34091,                0.66887,                 0.4063,                0.39578,                0.30712,                0.73474,                 2.0037,                 1.3837,                 1.0005,             0.00092105,             0.00092105,             0.00092105
                    115,                0.47503,                0.66367,                0.55898,                0.89019,                 0.5763,                0.49553,                0.45438,                0.35264,                0.65182,                0.42017,                0.41805,                0.34564,                 0.6635,                 1.5238,                 1.4061,                0.95985,             0.00091445,             0.00091445,             0.00091445
                    116,                0.49027,                0.66816,                 0.5427,                0.89667,                 0.6184,                0.51405,                0.48526,                0.36643,                 0.6575,                0.47829,                0.45096,                0.35945,                0.62665,                  1.374,                 1.3929,                0.93489,             0.00090785,             0.00090785,             0.00090785
                    117,                 0.4835,                0.63613,                0.55954,                0.89982,                 0.6184,                0.51405,                0.48526,                0.36643,                 0.6575,                0.47829,                0.45096,                0.35945,                0.62665,                  1.374,                 1.3929,                0.93489,             0.00090125,             0.00090125,             0.00090125
                    118,                0.49496,                0.70698,                0.55547,                0.88413,                 0.6358,                0.55109,                0.50147,                0.39171,                0.62017,                0.53384,                0.48704,                0.38707,                0.60679,                 1.3462,                 1.3662,                 0.9196,             0.00089465,             0.00089465,             0.00089465
                    119,                0.53411,                0.86949,                0.60694,                0.91494,                0.71896,                 0.5696,                0.53117,                0.42518,                0.67152,                0.53384,                0.49197,                0.40769,                0.66168,                 1.4967,                 1.2371,                0.94528,             0.00088804,             0.00088804,             0.00088804
                    120,                0.47727,                0.68471,                0.53754,                0.89283,                0.75521,                0.55109,                0.54449,                0.44768,                0.72929,                0.51533,                0.50226,                0.40242,                 0.6856,                 1.8622,                 1.1805,                0.95523,             0.00088144,             0.00088144,             0.00088144
                    121,                0.49195,                0.76604,                 0.5548,                0.90399,                0.75521,                0.55109,                0.54449,                0.44768,                0.72929,                0.51533,                0.50226,                0.40242,                 0.6856,                 1.8622,                 1.1805,                0.95523,             0.00087484,             0.00087484,             0.00087484
                    122,                0.44698,                0.61462,                0.53098,                0.89516,                0.78779,                0.53735,                0.54461,                0.44429,                0.76592,                0.51533,                0.50278,                0.39687,                0.68369,                 1.8559,                 1.1485,                0.95227,             0.00086824,             0.00086824,             0.00086824
                    123,                0.48577,                0.73202,                0.55647,                0.89788,                0.69847,                0.53512,                0.51845,                0.42454,                0.81439,                0.45836,                0.47427,                 0.3682,                0.69921,                 1.9991,                 1.1695,                0.98378,             0.00086164,             0.00086164,             0.00086164
                    124,                 0.4233,                0.60489,                0.47508,                0.86994,                0.73686,                0.49936,                0.47102,                0.39094,                0.77211,                0.46232,                0.44068,                0.34117,                0.68787,                 1.9364,                 1.2467,                0.98018,             0.00085504,             0.00085504,             0.00085504
                    125,                0.49742,                0.84778,                0.54574,                0.89608,                0.73686,                0.49936,                0.47102,                0.39094,                0.77211,                0.46232,                0.44068,                0.34117,                0.68787,                 1.9364,                 1.2467,                0.98018,             0.00084844,             0.00084844,             0.00084844
                    126,                0.46537,                0.65432,                0.50662,                0.87454,                0.74205,                0.48084,                0.44644,                0.36577,                0.71726,                0.46232,                 0.4167,                0.33147,                0.68849,                  1.962,                 1.3191,                0.98686,             0.00084184,             0.00084184,             0.00084184
                    127,                0.49579,                0.74183,                0.54045,                0.89878,                0.65166,                0.48084,                0.43163,                0.35304,                0.62747,                0.46232,                0.40866,                0.33158,                0.68741,                 1.6377,                  1.397,                0.98447,             0.00083523,             0.00083523,             0.00083523
                    128,                0.46077,                0.64521,                 0.5214,                0.89238,                0.63614,                0.47723,                0.43429,                0.34006,                0.60948,                0.45895,                0.41819,                0.32534,                0.66668,                 1.5368,                 1.4454,                0.98295,             0.00082863,             0.00082863,             0.00082863
                    129,                0.43421,                0.60708,                0.50977,                 0.8814,                0.63614,                0.47723,                0.43429,                0.34006,                0.60948,                0.45895,                0.41819,                0.32534,                0.66668,                 1.5368,                 1.4454,                0.98295,             0.00082203,             0.00082203,             0.00082203
                    130,                0.47343,                 0.6559,                0.52474,                0.88628,                0.62935,                0.47705,                0.43658,                0.34657,                0.60251,                0.45893,                0.41043,                0.33361,                0.65906,                 1.4904,                 1.4222,                0.96589,             0.00081543,             0.00081543,             0.00081543
                    131,                0.44694,                0.61238,                0.49363,                0.88874,                0.64509,                0.49078,                0.47642,                0.38672,                0.59738,                 0.4563,                0.44472,                0.37043,                0.65311,                  1.445,                 1.3374,                0.97327,             0.00080883,             0.00080883,             0.00080883
                    132,                0.46416,                0.70337,                0.51426,                0.89846,                0.69124,                0.47327,                0.49107,                 0.4089,                0.63823,                0.43827,                0.45857,                0.37603,                0.64877,                 1.4217,                 1.2904,                0.96676,             0.00080223,             0.00080223,             0.00080223
                    133,                0.44901,                0.63167,                0.51817,                0.88349,                0.69124,                0.47327,                0.49107,                 0.4089,                0.63823,                0.43827,                0.45857,                0.37603,                0.64877,                 1.4217,                 1.2904,                0.96676,             0.00079563,             0.00079563,             0.00079563
                    134,                0.45507,                0.62339,                0.49277,                0.89588,                 0.6942,                0.46232,                0.50088,                0.41524,                0.80011,                 0.3908,                0.46664,                0.39599,                0.62233,                 1.3767,                 1.2637,                0.95357,             0.00078902,             0.00078902,             0.00078902
                    135,                0.40193,                 0.5751,                0.46864,                 0.8826,                0.69432,                0.48084,                0.49957,                0.42298,                  0.808,                 0.3908,                0.46316,                0.39176,                0.61375,                 1.3595,                 1.2919,                0.94791,             0.00078242,             0.00078242,             0.00078242
                    136,                 0.4658,                0.64815,                 0.5068,                0.88889,                0.66687,                0.47784,                0.50077,                0.42122,                0.77977,                0.40805,                0.46797,                0.39361,                0.62585,                 1.3766,                 1.2769,                0.94847,             0.00077582,             0.00077582,             0.00077582
                    137,                0.46431,                0.80235,                0.51102,                0.91165,                0.66687,                0.47784,                0.50077,                0.42122,                0.77977,                0.40805,                0.46797,                0.39361,                0.62585,                 1.3766,                 1.2769,                0.94847,             0.00076922,             0.00076922,             0.00076922
                    138,                0.48606,                0.78734,                0.51856,                0.89747,                0.82665,                0.40599,                0.49437,                0.41123,                0.82665,                0.40599,                0.46291,                0.38222,                0.63661,                 1.4447,                 1.2565,                0.95901,             0.00076262,             0.00076262,             0.00076262
                    139,                 0.4639,                0.66866,                 0.5201,                0.89322,                0.62637,                 0.4682,                0.49189,                0.39932,                0.79986,                0.38646,                0.45274,                0.37354,                0.64078,                 1.5449,                 1.2884,                   0.96,             0.00075602,             0.00075602,             0.00075602
                    140,                0.44962,                 0.6393,                0.49666,                0.88595,                0.65369,                0.47804,                0.49219,                0.39446,                0.63717,                0.44364,                0.45217,                0.37002,                 0.6907,                  1.629,                 1.2776,                 1.0026,             0.00074942,             0.00074942,             0.00074942
                    141,                0.46006,                 0.7066,                0.51058,                0.90512,                0.65369,                0.47804,                0.49219,                0.39446,                0.63717,                0.44364,                0.45217,                0.37002,                 0.6907,                  1.629,                 1.2776,                 1.0026,             0.00074282,             0.00074282,             0.00074282
                    142,                0.44794,                0.61469,                0.49022,                0.88685,                0.73018,                0.45967,                  0.513,                0.40232,                 0.7068,                0.44257,                0.47178,                0.38256,                0.68833,                 1.6796,                 1.2554,                 1.0079,             0.00073621,             0.00073621,             0.00073621
                    143,                0.38072,                0.47549,                0.45502,                0.85018,                0.74032,                0.46105,                0.52291,                0.40691,                0.71602,                0.44381,                0.48448,                0.38451,                0.72563,                 1.6817,                 1.1758,                 1.0485,             0.00072961,             0.00072961,             0.00072961
                    144,                 0.4321,                0.66065,                0.50751,                0.89539,                0.74777,                0.46912,                0.53076,                0.40867,                0.72362,                0.45188,                0.48848,                0.38312,                0.73102,                 1.6511,                 1.1347,                 1.0506,             0.00072301,             0.00072301,             0.00072301
                    145,                0.44435,                0.62991,                0.48606,                0.88568,                0.74777,                0.46912,                0.53076,                0.40867,                0.72362,                0.45188,                0.48848,                0.38312,                0.73102,                 1.6511,                 1.1347,                 1.0506,             0.00071641,             0.00071641,             0.00071641
                    146,                0.43848,                0.65488,                0.47671,                0.86694,                0.78438,                0.45852,                0.53586,                0.41188,                0.75925,                 0.4415,                0.49426,                0.39647,                0.71909,                 1.6453,                 1.1242,                  1.041,             0.00070981,             0.00070981,             0.00070981
                    147,                 0.4634,                0.63601,                0.49309,                0.89531,                 0.7796,                0.47957,                0.53245,                0.40793,                0.75451,                0.46232,                0.49795,                   0.39,                0.70093,                 1.6651,                 1.1555,                 1.0269,             0.00070321,             0.00070321,             0.00070321
                    148,                0.43838,                0.63644,                 0.4793,                0.88186,                 0.7005,                0.46232,                0.49842,                0.39585,                 0.7005,                0.46232,                0.47445,                0.36325,                0.67479,                 1.7127,                 1.2116,                0.99913,             0.00069661,             0.00069661,             0.00069661
                    149,                0.48948,                0.70898,                0.49169,                0.89087,                 0.7005,                0.46232,                0.49842,                0.39585,                 0.7005,                0.46232,                0.47445,                0.36325,                0.67479,                 1.7127,                 1.2116,                0.99913,                0.00069,                0.00069,                0.00069
                    150,                0.48266,                0.66538,                0.53545,                0.89203,                0.72214,                0.47957,                 0.5016,                 0.3927,                0.69892,                0.46232,                0.46702,                0.34635,                 0.6861,                 1.8613,                 1.2553,                0.99865,              0.0006834,              0.0006834,              0.0006834
                    151,                0.45208,                0.61047,                0.48427,                0.88239,                0.60173,                0.49808,                0.48774,                0.37999,                0.76189,                0.40805,                0.45473,                0.33659,                 0.6735,                 1.8078,                 1.3203,                0.97202,              0.0006768,              0.0006768,              0.0006768
                    152,                0.44635,                0.57471,                0.47731,                0.87775,                0.57321,                0.49808,                0.48723,                0.38239,                0.75375,                0.40805,                0.45217,                0.33275,                0.67019,                 1.7432,                 1.3323,                0.97305,              0.0006702,              0.0006702,              0.0006702
                    153,                0.43229,                0.56814,                0.47925,                0.88111,                0.57321,                0.49808,                0.48723,                0.38239,                0.75375,                0.40805,                0.45217,                0.33275,                0.67019,                 1.7432,                 1.3323,                0.97305,              0.0006636,              0.0006636,              0.0006636
                    154,                0.40658,                0.63193,                0.47957,                0.86822,                0.59687,                0.51533,                0.48112,                0.38985,                0.73965,                0.40805,                0.44822,                0.34425,                0.65912,                 1.6948,                 1.3108,                0.97386,               0.000657,               0.000657,               0.000657
                    155,                0.43855,                0.54591,                 0.4689,                 0.8912,                0.57675,                0.50988,                0.49351,                0.40039,                0.65982,                0.46105,                0.46679,                0.36667,                0.67045,                 1.5323,                 1.2777,                0.96412,              0.0006504,              0.0006504,              0.0006504
                    156,                0.43292,                0.64777,                0.47479,                 0.8827,                0.58764,                0.53654,                0.50709,                0.41309,                0.66777,                0.46105,                 0.4814,                0.38704,                0.65673,                 1.4706,                 1.2211,                  0.947,              0.0006438,              0.0006438,              0.0006438
                    157,                0.44597,                0.62773,                0.48089,                0.87619,                0.58764,                0.53654,                0.50709,                0.41309,                0.66777,                0.46105,                 0.4814,                0.38704,                0.65673,                 1.4706,                 1.2211,                  0.947,             0.00063719,             0.00063719,             0.00063719
                    158,                0.44719,                0.66098,                0.47244,                0.87381,                0.61593,                0.53153,                0.50581,                0.41767,                0.60484,                0.51405,                0.48352,                0.40047,                0.64021,                 1.4473,                 1.1832,                0.94007,             0.00063059,             0.00063059,             0.00063059
                    159,                0.40816,                0.51598,                0.45905,                0.86129,                0.66009,                 0.5424,                0.51556,                0.42805,                0.67513,                0.53237,                0.49958,                0.41364,                0.61288,                 1.4385,                 1.1396,                0.92144,             0.00062399,             0.00062399,             0.00062399
                    160,                0.46799,                0.69021,                 0.4835,                 0.8706,                 0.8085,                 0.4751,                0.52638,                0.43636,                 0.8085,                 0.4751,                0.50556,                0.42565,                0.60323,                 1.4869,                  1.121,                0.91955,             0.00061739,             0.00061739,             0.00061739
                    161,                0.42131,                0.59576,                0.46604,                0.87228,                 0.8085,                 0.4751,                0.52638,                0.43636,                 0.8085,                 0.4751,                0.50556,                0.42565,                0.60323,                 1.4869,                  1.121,                0.91955,             0.00061079,             0.00061079,             0.00061079
                    162,                0.40825,                0.55841,                0.44864,                0.88741,                 0.8084,                0.49373,                0.52467,                0.43143,                 0.8084,                0.49373,                0.50345,                0.42218,                0.60169,                 1.5239,                 1.1124,                0.92241,             0.00060419,             0.00060419,             0.00060419
                    163,                0.41954,                0.60167,                 0.4623,                0.87198,                0.76822,                0.49681,                0.52718,                0.43598,                0.76822,                0.49681,                0.50475,                0.40792,                0.60272,                 1.5862,                 1.0962,                0.92571,             0.00059759,             0.00059759,             0.00059759
                    164,                0.43276,                0.60809,                0.44947,                0.87463,                0.66632,                0.53384,                0.52356,                0.43229,                0.75341,                0.48778,                0.49269,                0.38107,                0.62651,                 1.6727,                  1.122,                0.94503,             0.00059098,             0.00059098,             0.00059098
                    165,                0.45658,                0.61495,                0.49973,                0.87365,                0.66632,                0.53384,                0.52356,                0.43229,                0.75341,                0.48778,                0.49269,                0.38107,                0.62651,                 1.6727,                  1.122,                0.94503,             0.00058438,             0.00058438,             0.00058438
                    166,                0.41797,                0.56714,                0.47031,                 0.8829,                0.65818,                0.51533,                0.51912,                0.43162,                0.74955,                0.46232,                0.49345,                0.37522,                0.64621,                 1.7691,                 1.1737,                0.96785,             0.00057778,             0.00057778,             0.00057778
                    167,                0.41712,                 0.5733,                0.45729,                0.86803,                0.70766,                0.49318,                0.51084,                0.42397,                 0.6996,                0.46232,                0.47969,                0.36838,                0.65561,                  1.832,                 1.2475,                0.96929,             0.00057118,             0.00057118,             0.00057118
                    168,                0.40401,                0.59107,                 0.4441,                0.86595,                0.63593,                0.51533,                0.49398,                0.41687,                0.61705,                0.49681,                0.46316,                0.35281,                0.65717,                 1.8484,                 1.3019,                 0.9646,             0.00056458,             0.00056458,             0.00056458
                    169,                0.43697,                0.60972,                0.46152,                0.87313,                0.63593,                0.51533,                0.49398,                0.41687,                0.61705,                0.49681,                0.46316,                0.35281,                0.65717,                 1.8484,                 1.3019,                 0.9646,             0.00055798,             0.00055798,             0.00055798
                    170,                0.44252,                0.63031,                0.47358,                0.87807,                0.60747,                 0.5395,                0.48284,                0.39865,                0.71666,                0.42656,                0.44894,                0.33646,                 0.6631,                 1.9172,                 1.3295,                0.96517,             0.00055138,             0.00055138,             0.00055138
                    171,                0.42197,                0.56207,                0.43828,                0.87806,                0.57204,                0.51788,                0.46434,                0.37964,                0.67631,                0.42656,                0.43787,                0.32651,                0.68941,                 2.0041,                 1.3756,                 0.9779,             0.00054478,             0.00054478,             0.00054478
                    172,                0.43629,                0.55444,                0.45953,                0.88858,                0.74128,                0.40805,                  0.473,                 0.3648,                0.74128,                0.40805,                0.44441,                0.32272,                0.69944,                 2.0377,                 1.3953,                0.99202,             0.00053817,             0.00053817,             0.00053817
                    173,                 0.4317,                0.52302,                0.45583,                0.86376,                0.74128,                0.40805,                  0.473,                 0.3648,                0.74128,                0.40805,                0.44441,                0.32272,                0.69944,                 2.0377,                 1.3953,                0.99202,             0.00053157,             0.00053157,             0.00053157
                    174,                0.43261,                0.58818,                0.46495,                0.87086,                0.53082,                 0.5166,                0.45458,                0.35758,                0.63862,                0.40583,                0.42525,                0.31466,                0.69228,                 2.0194,                 1.4112,                0.98875,             0.00052497,             0.00052497,             0.00052497
                    175,                0.43703,                0.62202,                0.45126,                0.87854,                0.54373,                0.49808,                0.45191,                0.35462,                0.56117,                 0.4202,                0.41974,                 0.3157,                0.67368,                  1.941,                 1.3575,                0.97427,             0.00051837,             0.00051837,             0.00051837
                    176,                0.42349,                0.59236,                0.45946,                0.85495,                 0.5382,                0.49808,                0.47116,                0.37665,                0.79266,                0.35377,                0.42535,                0.33664,                0.66581,                 1.7798,                 1.2964,                0.97227,             0.00051177,             0.00051177,             0.00051177
                    177,                0.44007,                0.59614,                0.47298,                0.87313,                 0.5382,                0.49808,                0.47116,                0.37665,                0.79266,                0.35377,                0.42535,                0.33664,                0.66581,                 1.7798,                 1.2964,                0.97227,             0.00050517,             0.00050517,             0.00050517
                    178,                0.39103,                0.50938,                0.43724,                 0.8763,                0.53823,                0.52453,                 0.4804,                0.38223,                0.57145,                0.44253,                0.44032,                 0.3406,                0.64889,                 1.6895,                 1.2632,                0.97097,             0.00049857,             0.00049857,             0.00049857
                    179,                0.38103,                0.49054,                0.42202,                0.85302,                0.54339,                0.53384,                0.49276,                0.39211,                0.58671,                0.44253,                0.44803,                0.35678,                0.64813,                 1.5993,                 1.2688,                0.97346,             0.00049197,             0.00049197,             0.00049197
                    180,                0.43625,                0.67089,                0.48958,                0.86885,                0.55734,                0.55109,                0.49955,                0.39857,                0.64872,                0.46105,                0.47376,                0.36968,                0.65372,                 1.5457,                 1.2669,                0.97076,             0.00048536,             0.00048536,             0.00048536
                    181,                0.42357,                0.52689,                0.46049,                0.86403,                0.55734,                0.55109,                0.49955,                0.39857,                0.64872,                0.46105,                0.47376,                0.36968,                0.65372,                 1.5457,                 1.2669,                0.97076,             0.00047876,             0.00047876,             0.00047876
                    182,                0.43138,                0.56285,                0.44913,                0.89402,                0.58838,                0.54459,                0.51361,                0.40296,                0.68195,                0.44253,                 0.4837,                0.38026,                0.66323,                 1.4996,                 1.2473,                0.96365,             0.00047216,             0.00047216,             0.00047216
                    183,                0.38854,                0.48993,                 0.4333,                0.86447,                0.65186,                0.49681,                0.51581,                0.40925,                0.67874,                0.47405,                0.48892,                0.38849,                0.66591,                 1.4921,                 1.2215,                0.95689,             0.00046556,             0.00046556,             0.00046556
                    184,                0.41211,                0.63636,                0.44669,                0.88408,                0.63128,                0.49681,                0.51854,                0.40434,                0.68804,                0.47829,                0.49428,                0.39163,                0.66891,                 1.4987,                 1.1852,                0.95563,             0.00045896,             0.00045896,             0.00045896
                    185,                0.42556,                0.57449,                0.44675,                0.86759,                0.63128,                0.49681,                0.51854,                0.40434,                0.68804,                0.47829,                0.49428,                0.39163,                0.66891,                 1.4987,                 1.1852,                0.95563,             0.00045236,             0.00045236,             0.00045236
                    186,                0.39382,                 0.5291,                0.42832,                0.88168,                0.82668,                0.45806,                 0.5249,                0.40795,                0.75105,                0.45977,                0.49956,                0.39766,                0.66549,                 1.4808,                 1.1692,                0.95211,             0.00044576,             0.00044576,             0.00044576
                    187,                0.38648,                0.53516,                0.42506,                0.86511,                0.87596,                0.45977,                0.52912,                0.40979,                0.87596,                0.45977,                0.50755,                0.39583,                0.66379,                 1.4646,                 1.1576,                 0.9537,             0.00043915,             0.00043915,             0.00043915
                    188,                0.38808,                 0.6468,                0.41436,                0.87534,                 0.8924,                0.45977,                0.53997,                0.41945,                 0.8924,                0.45977,                0.51375,                0.39997,                0.65773,                 1.4349,                  1.148,                0.95795,             0.00043255,             0.00043255,             0.00043255
                    189,                0.38727,                0.53548,                0.42367,                0.86609,                 0.8924,                0.45977,                0.53997,                0.41945,                 0.8924,                0.45977,                0.51375,                0.39997,                0.65773,                 1.4349,                  1.148,                0.95795,             0.00042595,             0.00042595,             0.00042595
                    190,                0.42498,                 0.6495,                0.44796,                0.86495,                0.90782,                0.45977,                0.53766,                0.41811,                0.90782,                0.45977,                0.50649,                0.39624,                0.68395,                 1.5775,                 1.1027,                0.98856,             0.00041935,             0.00041935,             0.00041935
                    191,                0.39799,                0.54187,                0.43453,                  0.878,                0.88163,                0.45977,                0.53108,                0.40984,                0.88163,                0.45977,                0.49782,                0.37718,                0.68427,                 1.7955,                 1.0962,                0.99035,             0.00041275,             0.00041275,             0.00041275
                    192,                0.37182,                0.51963,                0.40356,                0.85128,                 0.8317,                0.45977,                0.52269,                0.40326,                 0.8317,                0.45977,                0.48991,                0.37879,                0.68859,                 1.8711,                 1.1479,                 1.0033,             0.00040615,             0.00040615,             0.00040615
                    193,                0.40646,                0.54746,                0.43596,                0.87223,                 0.8317,                0.45977,                0.52269,                0.40326,                 0.8317,                0.45977,                0.48991,                0.37879,                0.68859,                 1.8711,                 1.1479,                 1.0033,             0.00039955,             0.00039955,             0.00039955
                    194,                0.40166,                0.55051,                 0.4156,                0.86942,                 0.8216,                0.45977,                 0.5263,                0.41077,                 0.8216,                0.45977,                0.49151,                0.37439,                0.69824,                 1.9351,                 1.1653,                 1.0094,             0.00039295,             0.00039295,             0.00039295
                    195,                 0.3804,                0.53858,                0.41241,                0.85494,                0.79585,                0.45977,                0.52426,                0.41373,                0.79585,                0.45977,                0.48838,                0.37192,                0.69171,                  2.035,                 1.1542,                 1.0005,             0.00038634,             0.00038634,             0.00038634
                    196,                0.43392,                 0.6967,                0.45922,                0.86291,                0.73274,                0.48733,                0.53057,                0.41745,                 0.8007,                0.45977,                0.49153,                0.37694,                0.68896,                 2.0751,                   1.13,                0.99547,             0.00037974,             0.00037974,             0.00037974
                    197,                0.40889,                0.57116,                0.41706,                 0.8676,                0.73274,                0.48733,                0.53057,                0.41745,                 0.8007,                0.45977,                0.49153,                0.37694,                0.68896,                 2.0751,                   1.13,                0.99547,             0.00037314,             0.00037314,             0.00037314
                    198,                0.35817,                0.48629,                0.39247,                0.87372,                0.78406,                0.48895,                0.54117,                0.42256,                0.81721,                0.45977,                0.50325,                0.38697,                0.69403,                 2.0547,                 1.1298,                0.98734,             0.00036654,             0.00036654,             0.00036654
                    199,                0.38187,                0.50709,                0.43494,                0.87487,                0.71271,                0.53257,                0.54741,                0.42905,                0.79144,                 0.4749,                0.50674,                0.39128,                0.69567,                 2.0907,                 1.1098,                0.98947,             0.00035994,             0.00035994,             0.00035994
                    200,                 0.4007,                0.53185,                0.41522,                0.86972,                0.81213,                0.49519,                0.55107,                0.42885,                 0.8256,                0.47527,                0.51367,                0.39187,                0.68836,                  2.047,                  1.113,                0.98053,             0.00035334,             0.00035334,             0.00035334
                    201,                0.38259,                 0.5527,                0.41777,                0.85775,                0.81213,                0.49519,                0.55107,                0.42885,                 0.8256,                0.47527,                0.51367,                0.39187,                0.68836,                  2.047,                  1.113,                0.98053,             0.00034674,             0.00034674,             0.00034674
                    202,                0.36184,                 0.4896,                0.40648,                0.87513,                0.80314,                0.47829,                0.53097,                 0.4325,                0.80314,                0.47829,                0.50799,                0.39284,                0.68841,                 2.0649,                 1.1206,                0.97528,             0.00034013,             0.00034013,             0.00034013
                    203,                0.38504,                0.50371,                0.41106,                0.85379,                0.87631,                0.47264,                0.53179,                0.43451,                0.87631,                0.47264,                0.50823,                0.39447,                0.69891,                 2.0154,                 1.1239,                 0.9909,             0.00033353,             0.00033353,             0.00033353
                    204,                0.38887,                 0.5969,                0.42269,                0.86416,                0.82426,                0.46455,                0.53276,                0.43329,                0.82426,                0.46455,                0.50988,                0.39798,                0.70955,                 2.0259,                 1.1244,                 1.0111,             0.00032693,             0.00032693,             0.00032693
                    205,                0.40387,                0.53615,                0.43371,                0.86745,                0.82426,                0.46455,                0.53276,                0.43329,                0.82426,                0.46455,                0.50988,                0.39798,                0.70955,                 2.0259,                 1.1244,                 1.0111,             0.00032033,             0.00032033,             0.00032033
                    206,                0.36451,                0.53008,                0.41271,                0.86149,                0.73931,                0.51323,                0.52584,                0.42652,                0.82292,                0.47346,                0.50315,                0.38654,                0.72424,                 2.0327,                 1.1358,                 1.0353,             0.00031373,             0.00031373,             0.00031373
                    207,                0.38257,                0.52429,                0.40619,                0.85853,                0.76491,                 0.4944,                0.51944,                 0.4218,                0.76657,                0.47829,                 0.4966,                0.38097,                0.72377,                  2.021,                 1.1367,                 1.0405,             0.00030713,             0.00030713,             0.00030713
                    208,                0.38091,                0.46189,                0.41728,                0.89394,                0.80144,                0.49667,                0.52047,                0.42823,                0.80193,                0.47829,                0.49581,                0.38639,                0.72592,                 1.9943,                 1.1347,                 1.0445,             0.00030053,             0.00030053,             0.00030053
                    209,                0.44366,                0.61113,                 0.4464,                0.88315,                0.80144,                0.49667,                0.52047,                0.42823,                0.80193,                0.47829,                0.49581,                0.38639,                0.72592,                 1.9943,                 1.1347,                 1.0445,             0.00029393,             0.00029393,             0.00029393
